backtest_id,replayed_at_utc,as_of_date,target_date,market_ticker,event_ticker,series,model,method,prob_model,outcome,brier,log_loss,mode
backtest_20260514_0001,2026-05-17T11:03:34Z,2026-05-14,2026-05-15,KXHIGHAUS-26MAY15-T90,KXHIGHAUS-26MAY15,KXHIGHAUS,climatology,climatology,0.7268518518518519,0,0.5283136145404664,1.2977409637784456,replay_climatology
backtest_20260514_0002,2026-05-17T11:03:34Z,2026-05-14,2026-05-15,KXHIGHAUS-26MAY15-B90.5,KXHIGHAUS-26MAY15,KXHIGHAUS,climatology,climatology,0.041666666666666664,1,0.9184027777777779,3.1780538303479458,replay_climatology
backtest_20260514_0003,2026-05-17T11:03:34Z,2026-05-14,2026-05-15,KXHIGHAUS-26MAY15-B92.5,KXHIGHAUS-26MAY15,KXHIGHAUS,climatology,climatology,0.0787037037037037,0,0.006194272976680385,0.08197358295967262,replay_climatology
backtest_20260514_0004,2026-05-17T11:03:34Z,2026-05-14,2026-05-15,KXHIGHAUS-26MAY15-B94.5,KXHIGHAUS-26MAY15,KXHIGHAUS,climatology,climatology,0.05092592592592593,0,0.002593449931412895,0.05226842854575683,replay_climatology
backtest_20260514_0005,2026-05-17T11:03:34Z,2026-05-14,2026-05-15,KXHIGHAUS-26MAY15-B96.5,KXHIGHAUS-26MAY15,KXHIGHAUS,climatology,climatology,0.06018518518518519,0,0.0036222565157750346,0.06207242864237772,replay_climatology
backtest_20260514_0006,2026-05-17T11:03:34Z,2026-05-14,2026-05-15,KXHIGHAUS-26MAY15-T97,KXHIGHAUS-26MAY15,KXHIGHAUS,climatology,climatology,0.041666666666666664,0,0.001736111111111111,0.04255961441879589,replay_climatology
backtest_20260513_0001,2026-05-17T11:03:34Z,2026-05-13,2026-05-14,KXHIGHAUS-26MAY14-T89,KXHIGHAUS-26MAY14,KXHIGHAUS,climatology,climatology,0.7175925925925926,0,0.5149391289437585,1.2644045435108537,replay_climatology
backtest_20260513_0002,2026-05-17T11:03:34Z,2026-05-13,2026-05-14,KXHIGHAUS-26MAY14-B89.5,KXHIGHAUS-26MAY14,KXHIGHAUS,climatology,climatology,0.06018518518518519,1,0.8832518861454046,2.810329050222628,replay_climatology
backtest_20260513_0003,2026-05-17T11:03:34Z,2026-05-13,2026-05-14,KXHIGHAUS-26MAY14-B91.5,KXHIGHAUS-26MAY14,KXHIGHAUS,climatology,climatology,0.08796296296296295,0,0.007737482853223592,0.09207467894617644,replay_climatology
backtest_20260513_0004,2026-05-17T11:03:34Z,2026-05-13,2026-05-14,KXHIGHAUS-26MAY14-B93.5,KXHIGHAUS-26MAY14,KXHIGHAUS,climatology,climatology,0.041666666666666664,0,0.001736111111111111,0.04255961441879589,replay_climatology
backtest_20260513_0005,2026-05-17T11:03:34Z,2026-05-13,2026-05-14,KXHIGHAUS-26MAY14-B95.5,KXHIGHAUS-26MAY14,KXHIGHAUS,climatology,climatology,0.041666666666666664,0,0.001736111111111111,0.04255961441879589,replay_climatology
